#separator:tab
#html:true
#notetype:Cloze
#columns:Text	Back Extra	Tags
# Topic 11 — Everyday Life at Home / Family: Kanji & Vocabulary cloze cards
# Each item has 2 cards: no-hint recall, then meaning-hint recall. Back Extra includes
# the full sentence's hiragana reading plus the English translation.
起きて！{{c1::朝::朝}}だよ。	<div class="meaning-line">あさ — morning (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">おきて！あさだよ。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Wake up! It's morning.</div></div>	kanji::topic11 kanji::topic11-s01
{{c1::起::起}}きて！朝だよ。	<div class="meaning-line">お(きる)、お(こす) — wake up / wake someone (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">おきて！あさだよ。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Wake up! It's morning.</div></div>	kanji::topic11 kanji::topic11-s01
{{c1::顔::顔}}を洗って、歯を磨いてね。	<div class="meaning-line">かお — face (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">かおをあらって、はをみがいてね。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Wash your face and brush your teeth.</div></div>	kanji::topic11 kanji::topic11-s01
服を{{c1::着::着}}替えようか。	<div class="meaning-line">き(る)、つ(く) — wear / arrive (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">ふくをきがえようか。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Shall we change clothes?</div></div>	kanji::topic11 kanji::topic11-s01
{{c1::服::服}}を着替えようか。	<div class="meaning-line">ふく — clothes (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">ふくをきがえようか。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Shall we change clothes?</div></div>	kanji::topic11 kanji::topic11-s01
{{c1::早::早}}く起きて、幼稚園に遅れるよ。	<div class="meaning-line">はや(い) — early (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">はやくおきて、ようちえんにおくれるよ。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Get up quickly, you'll be late for kindergarten.</div></div>	kanji::topic11 kanji::topic11-s01
よく{{c1::眠::眠}}れた？	<div class="meaning-line">ねむ(い) — sleepy (N3)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">よくねむれた？</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Did you sleep well?</div></div>	kanji::topic11 kanji::topic11-s01
顔を{{c1::洗::洗}}って、歯を磨いてね。	<div class="meaning-line">あら(う) — wash (N4)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">かおをあらって、はをみがいてね。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Wash your face and brush your teeth.</div></div>	kanji::topic11 kanji::topic11-s01 kanji::topic11-s02 kanji::topic11-s03
ご飯できたよ、{{c1::食::食}}べよう。	<div class="meaning-line">た(べる)、しょく — eat / food (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">ごはんできたよ、たべよう。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Food's ready, let's eat.</div></div>	kanji::topic11 kanji::topic11-s02 kanji::topic11-s10
水を{{c1::飲::飲}}んでね。	<div class="meaning-line">の(む) — drink (N5)</div><div class="reading-block"><div class="label">Sentence reading:</div><div class="reading-text">みずをのんでね。</div></div><div class="translation-block"><div class="label">Translation:</div><div class="translation-text">Drink some water.</div></div>	kanji::topic11 kanji::topic11-s02
