#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 1 (Sou Matome N2, Days 1-6) — Kanji, Vocabulary, Grammar, Reading, Listening (v2 card design)
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">禁止</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">関係者以外立ち入り禁止です。</div>	<div>きんし</div><div style="height:12px;"></div><div>Prohibition</div><div style="height:12px;"></div><div>かんけいしゃいがいたちいりきんしです。</div><div style="height:12px;"></div><div>Entry is prohibited except for those concerned.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">禁煙</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">この電車は全席禁煙です。</div>	<div>きんえん</div><div style="height:12px;"></div><div>No smoking</div><div style="height:12px;"></div><div>このでんしゃはぜんせききんえんです。</div><div style="height:12px;"></div><div>This train is entirely non-smoking (all seats).</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">煙</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">窓から煙が出ている。</div>	<div>けむり</div><div style="height:12px;"></div><div>Smoke</div><div style="height:12px;"></div><div>まどからけむりがでている。</div><div style="height:12px;"></div><div>Smoke is coming out from the window.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">安静</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">医者に安静にするよう言われた。</div>	<div>あんせい</div><div style="height:12px;"></div><div>Quietly</div><div style="height:12px;"></div><div>いしゃにあんせいにするよういわれた。</div><div style="height:12px;"></div><div>I was told by the doctor to rest quietly.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">静か</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">図書館では静かにしてください。</div>	<div>しずか</div><div style="height:12px;"></div><div>Quiet</div><div style="height:12px;"></div><div>としょかんではしずかにしてください。</div><div style="height:12px;"></div><div>Please be quiet in the library.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">危機</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">会社は経営危機に陥った。</div>	<div>きき</div><div style="height:12px;"></div><div>Crisis</div><div style="height:12px;"></div><div>かいしゃはけいえいききにおちいった。</div><div style="height:12px;"></div><div>The company fell into a management crisis.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">危ない</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">危ないですから、下がってください。</div>	<div>あぶない</div><div style="height:12px;"></div><div>Dangerous</div><div style="height:12px;"></div><div>あぶないですから、さがってください。</div><div style="height:12px;"></div><div>It's dangerous, so please step back.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">危険</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">この川で泳ぐのは危険です。</div>	<div>きけん</div><div style="height:12px;"></div><div>Danger</div><div style="height:12px;"></div><div>このかわでおよぐのはきけんです。</div><div style="height:12px;"></div><div>Swimming in this river is dangerous.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">険しい</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">山道はだんだん険しくなってきた。</div>	<div>けわしい</div><div style="height:12px;"></div><div>Steep</div><div style="height:12px;"></div><div>やまみちはだんだんけわしくなってきた。</div><div style="height:12px;"></div><div>The mountain path gradually became steep.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">関心</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">彼は政治に関心がない。</div>	<div>かんしん</div><div style="height:12px;"></div><div>Interest</div><div style="height:12px;"></div><div>かれはせいじにかんしんがない。</div><div style="height:12px;"></div><div>He has no interest in politics.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">関わる</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">この事件には多くの人が関わっている。</div>	<div>かかわる</div><div style="height:12px;"></div><div>Have to do with</div><div style="height:12px;"></div><div>このじけんにはおおくのひとがかかわっている。</div><div style="height:12px;"></div><div>Many people are involved in this incident.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">関係</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">二人の関係はうまくいっている。</div>	<div>かんけい</div><div style="height:12px;"></div><div>Relation</div><div style="height:12px;"></div><div>ふたりのかんけいはうまくいっている。</div><div style="height:12px;"></div><div>The relationship between the two of them is going well.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">係員</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">わからないことがあれば、係員にお尋ねください。</div>	<div>かかりいん</div><div style="height:12px;"></div><div>Person in charge</div><div style="height:12px;"></div><div>わからないことがあれば、かかりいんにおたずねください。</div><div style="height:12px;"></div><div>If there's anything you don't understand, please ask the staff member in charge.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">転落</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">彼はホームから転落した。</div>	<div>てんらく</div><div style="height:12px;"></div><div>Fall</div><div style="height:12px;"></div><div>かれはホームからてんらくした。</div><div style="height:12px;"></div><div>He fell from the platform.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">落石</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">この山道には「落石注意」の標識がある。</div>	<div>らくせき</div><div style="height:12px;"></div><div>Falling rocks</div><div style="height:12px;"></div><div>このやまみちには「らくせきちゅうい」のひょうしきがある。</div><div style="height:12px;"></div><div>There is a "beware of falling rocks" sign on this mountain path.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">磁石</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">子供は磁石で遊ぶのが好きだ。</div>	<div>じしゃく</div><div style="height:12px;"></div><div>Magnet</div><div style="height:12px;"></div><div>こどもはじしゃくであそぶのがすきだ。</div><div style="height:12px;"></div><div>Children like playing with magnets.</div>	kanji::w1 kanji::w1d1
<div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:30px;">石</div><div style="height:20px;"></div><div style="font-family:'Hiragino Kaku Gothic ProN','Yu Gothic Medium','Meiryo',sans-serif;font-size:18px;">川で石を拾った。</div>	<div>いし</div><div style="height:12px;"></div><div>Stone</div><div style="height:12px;"></div><div>かわでいしをひろった。</div><div style="height:12px;"></div><div>I picked up a stone at the river.</div>	kanji::w1 kanji::w1d1
