#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 2 (Sou Matome N2, Days 1-7) — Kanji, Grammar, Reading, Listening (Vocabulary pending — plan/vocabulary-w2.md source file is mislabeled Week 8 kanji content, not Week 2 vocabulary)
普通	ふつう — Ordinary <br><i>(kanji: 普)</i>	kanji::w2 kanji::w2d1
普段(の)	ふだんの — Usually <br><i>(kanji: 普)</i>	kanji::w2 kanji::w2d1
回数券	かいすうけん — Commuter ticket <br><i>(kanji: 券)</i>	kanji::w2 kanji::w2d1
旅券	りょけん — Passport <br><i>(kanji: 券)</i>	kanji::w2 kanji::w2d1
乗車券	じょうしゃけん — Boarding ticket <br><i>(kanji: 券)</i>	kanji::w2 kanji::w2d1
発券	はっけん — Issue of a ticket <br><i>(kanji: 券)</i>	kanji::w2 kanji::w2d1
数字	すうじ — Number <br><i>(kanji: 数)</i>	kanji::w2 kanji::w2d1
点数	てんすう — Score/points <br><i>(kanji: 数)</i>	kanji::w2 kanji::w2d1
飛行機	ひこうき — Airplane <br><i>(kanji: 機・数)</i>	kanji::w2 kanji::w2d1
自動券売機	じどうけんばいき — Automatic ticket machine <br><i>(kanji: 機・数)</i>	kanji::w2 kanji::w2d1
交通機関	こうつうきかん — Means of transportation <br><i>(kanji: 機)</i>	kanji::w2 kanji::w2d1
危機	きき — Crisis <br><i>(kanji: 機)</i>	kanji::w2 kanji::w2d1
復習	ふくしゅう — Review <br><i>(kanji: 復)</i>	kanji::w2 kanji::w2d1
回復	かいふく — Recovery/recuperation <br><i>(kanji: 復)</i>	kanji::w2 kanji::w2d1
往復	おうふく — Round trip <br><i>(kanji: 復)</i>	kanji::w2 kanji::w2d1
破片	はへん — Fragment <br><i>(kanji: 片)</i>	kanji::w2 kanji::w2d1
片付ける	かたづける — Tidy up <br><i>(kanji: 片)</i>	kanji::w2 kanji::w2d1
片道切符	かたみちきっぷ — One-way ticket <br><i>(kanji: 片)</i>	kanji::w2 kanji::w2d1
片〜	かた〜 — One side <br><i>(kanji: 片)</i>	kanji::w2 kanji::w2d1
〜枚	〜まい — Counter for flat objects <br><i>(kanji: 枚)</i>	kanji::w2 kanji::w2d1
枚数	まいすう — Number of flat objects <br><i>(kanji: 枚)</i>	kanji::w2 kanji::w2d1
期間	きかん — Period of time <br><i>(kanji: 期)</i>	kanji::w2 kanji::w2d1
定期	ていき — Fixed period of time <br><i>(kanji: 期)</i>	kanji::w2 kanji::w2d1
定期券	ていきけん — Commuter pass <br><i>(kanji: 期)</i>	kanji::w2 kanji::w2d1
販売	はんばい — Selling <br><i>(kanji: 販)</i>	kanji::w2 kanji::w2d1
自動販売機	じどうはんばいき — Vending machine <br><i>(kanji: 販)</i>	kanji::w2 kanji::w2d1
指定席	していせき — Reserved seat <br><i>(kanji: 指)</i>	kanji::w2 kanji::w2d1
指	ゆび — Finger <br><i>(kanji: 指)</i>	kanji::w2 kanji::w2d1
指す	さす — Point <br><i>(kanji: 指)</i>	kanji::w2 kanji::w2d1
調整	ちょうせい — Adjustment <br><i>(kanji: 調)</i>	kanji::w2 kanji::w2d1
調子	ちょうし — Condition <br><i>(kanji: 調)</i>	kanji::w2 kanji::w2d1
調べる	しらべる — Look up/investigate <br><i>(kanji: 調)</i>	kanji::w2 kanji::w2d1
整理券	せいりけん — Numbered ticket <br><i>(kanji: 整)</i>	kanji::w2 kanji::w2d1
整備	せいび — Maintenance/overhaul <br><i>(kanji: 整)</i>	kanji::w2 kanji::w2d1
整う	ととのう — Be tidy <br><i>(kanji: 整)</i>	kanji::w2 kanji::w2d1
表	ひょう — Table <br><i>(kanji: 表)</i>	kanji::w2 kanji::w2d1
時刻表	じこくひょう — Timetable <br><i>(kanji: 表)</i>	kanji::w2 kanji::w2d1
発表	はっぴょう — Announcement <br><i>(kanji: 表)</i>	kanji::w2 kanji::w2d1
表	おもて — Surface/face <br><i>(kanji: 表)</i>	kanji::w2 kanji::w2d1
表す	あらわす — Show/express <br><i>(kanji: 表)</i>	kanji::w2 kanji::w2d1
表示	ひょうじ — Indication/expression <br><i>(kanji: 示)</i>	kanji::w2 kanji::w2d1
指示	しじ — Instruction <br><i>(kanji: 示)</i>	kanji::w2 kanji::w2d1
掲示	けいじ — Notice <br><i>(kanji: 示)</i>	kanji::w2 kanji::w2d1
示す	しめす — Show/point out <br><i>(kanji: 示)</i>	kanji::w2 kanji::w2d1
現金	げんきん — Cash <br><i>(kanji: 現)</i>	kanji::w2 kanji::w2d2
表現	ひょうげん — Expression <br><i>(kanji: 現)</i>	kanji::w2 kanji::w2d2
現れる	あらわれる — Appear <br><i>(kanji: 現)</i>	kanji::w2 kanji::w2d2
支店	してん — Branch shop/office <br><i>(kanji: 支)</i>	kanji::w2 kanji::w2d2
支持	しじ — Support <br><i>(kanji: 支)</i>	kanji::w2 kanji::w2d2
支える	ささえる — Support <br><i>(kanji: 支)</i>	kanji::w2 kanji::w2d2
払う	はらう — Pay/sweep away <br><i>(kanji: 払)</i>	kanji::w2 kanji::w2d2
支払機	しはらいき — Machine for dispensing cash <br><i>(kanji: 払)</i>	kanji::w2 kanji::w2d2
支払う	しはらう — Pay <br><i>(kanji: 払)</i>	kanji::w2 kanji::w2d2
預金	よきん — Deposit <br><i>(kanji: 預)</i>	kanji::w2 kanji::w2d2
預ける	あずける — Entrust <br><i>(kanji: 預)</i>	kanji::w2 kanji::w2d2
預かる	あずかる — Keep/take charge of <br><i>(kanji: 預)</i>	kanji::w2 kanji::w2d2
払い戻し	はらいもどし — Refund <br><i>(kanji: 戻)</i>	kanji::w2 kanji::w2d2
戻る	もどる — Return <br><i>(kanji: 戻)</i>	kanji::w2 kanji::w2d2
残高照会	ざんだかしょうかい — Account balance inquiry <br><i>(kanji: 残)</i>	kanji::w2 kanji::w2d2
残る	のこる — Remain <br><i>(kanji: 残)</i>	kanji::w2 kanji::w2d2
残す	のこす — Leave/leave behind <br><i>(kanji: 残)</i>	kanji::w2 kanji::w2d2
照明	しょうめい — Illumination/light <br><i>(kanji: 照)</i>	kanji::w2 kanji::w2d2
照らす	てらす — Light up <br><i>(kanji: 照)</i>	kanji::w2 kanji::w2d2
対照的	たいしょうてき — Being contrastive <br><i>(kanji: 照)</i>	kanji::w2 kanji::w2d2
硬貨	こうか — Coin <br><i>(kanji: 硬)</i>	kanji::w2 kanji::w2d2
硬い	かたい — Hard <br><i>(kanji: 硬)</i>	kanji::w2 kanji::w2d2
貨物	かもつ — Freight <br><i>(kanji: 貨)</i>	kanji::w2 kanji::w2d2
通貨	つうか — Currency <br><i>(kanji: 貨)</i>	kanji::w2 kanji::w2d2
確定	かくてい — Determination <br><i>(kanji: 確)</i>	kanji::w2 kanji::w2d2
確か(な)	たしかな — Certain <br><i>(kanji: 確)</i>	kanji::w2 kanji::w2d2
明確(な)	めいかくな — Clear <br><i>(kanji: 確)</i>	kanji::w2 kanji::w2d2
確かめる	たしかめる — Confirm/verify <br><i>(kanji: 確)</i>	kanji::w2 kanji::w2d2
確認	かくにん — Confirmation <br><i>(kanji: 認)</i>	kanji::w2 kanji::w2d2
認める	みとめる — Admit/approve <br><i>(kanji: 認)</i>	kanji::w2 kanji::w2d2
違法	いほう — Illegal <br><i>(kanji: 違)</i>	kanji::w2 kanji::w2d2
間違える	まちがえる — Make a mistake <br><i>(kanji: 違)</i>	kanji::w2 kanji::w2d2
違い	ちがい — Difference <br><i>(kanji: 違)</i>	kanji::w2 kanji::w2d2
間違い	まちがい — Mistake <br><i>(kanji: 違)</i>	kanji::w2 kanji::w2d2
取材	しゅざい — Collection of data/interview <br><i>(kanji: 取)</i>	kanji::w2 kanji::w2d2
取る	とる — Take <br><i>(kanji: 取)</i>	kanji::w2 kanji::w2d2
