#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 3 (Sou Matome N2) — Grammar and Usage note type: Grammar (Type 2 cards)
<div class="front-main">〜とおり(に) / 〜どおり(に)</div><div class="front-example-sentence-1">友達が言ったとおり、日本の物価は高い。</div>	<div class="back-main-reading">〜とおり(に) / 〜どおり(に)</div><div class="back-main-english-explanation">just as / exactly as</div><div class="back-example-sentence-1-reading">ともだちがいったとおり、にほんのぶっかはたかい。</div><div class="back-example-sentence-1-english">Just as my friend said, prices in Japan are expensive.</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜とおり(に) / 〜どおり(に)</div><div class="front-example-sentence-1">自分の思うとおりに生きることは難しい。</div>	<div class="back-main-reading">〜とおり(に) / 〜どおり(に)</div><div class="back-main-english-explanation">just as / exactly as</div><div class="back-example-sentence-1-reading">じぶんのおもうとおりにいきることはむずかしい。</div><div class="back-example-sentence-1-english">It is difficult to live exactly as one thinks/wishes.</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜まま(に)</div><div class="front-example-sentence-1">セールスマンに言われるまま、契約書にサインをしてしまった。</div>	<div class="back-main-reading">〜まま(に)</div><div class="back-main-english-explanation">as it is / according to</div><div class="back-example-sentence-1-reading">セールスマンにいわれるまま、けいやくしょにサインをしてしまった。</div><div class="back-example-sentence-1-english">I signed the contract just as the salesman told me to (without thinking).</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜まま(に)</div><div class="front-example-sentence-1">足の向くままに歩く。</div>	<div class="back-main-reading">〜まま(に)</div><div class="back-main-english-explanation">as it is / according to</div><div class="back-example-sentence-1-reading">あしのむくままにあるく。</div><div class="back-example-sentence-1-english">Walk wherever my feet take me (aimlessly).</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜ことに</div><div class="front-example-sentence-1">驚いたことに、彼女は同じ相手と2回も離婚して再婚しているんです。</div>	<div class="back-main-reading">〜ことに</div><div class="back-main-english-explanation">to my [emotion]</div><div class="back-example-sentence-1-reading">おどろいたことに、かのじょはおなじあいてと2かいもりこんしてさいこんしているんです。</div><div class="back-example-sentence-1-english">What surprised me was that she divorced and remarried the same person twice.</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜ことに</div><div class="front-example-sentence-1">おもしろいことに、隣の家も、その隣の家も、うちと同じ名字なのです。</div>	<div class="back-main-reading">〜ことに</div><div class="back-main-english-explanation">to my [emotion]</div><div class="back-example-sentence-1-reading">おもしろいことに、となりのいえも、そのとなりのいえも、うちとおなじみょうじなのです。</div><div class="back-example-sentence-1-english">Interestingly, both the neighbor next door and their neighbor have the same surname as us.</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜あまり(に)</div><div class="front-example-sentence-1">緊張のあまり、体が震えた。</div>	<div class="back-main-reading">〜あまり(に)</div><div class="back-main-english-explanation">so... that / because of too much...</div><div class="back-example-sentence-1-reading">きんちょうのあまり、からだがふるえた。</div><div class="back-example-sentence-1-english">I was so nervous that my body was shaking.</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜あまり(に)</div><div class="front-example-sentence-1">心配するあまり、母は寝込んでしまった。</div>	<div class="back-main-reading">〜あまり(に)</div><div class="back-main-english-explanation">so... that / because of too much...</div><div class="back-example-sentence-1-reading">しんぱいするあまり、はははねこんでしまった。</div><div class="back-example-sentence-1-english">My mother was so worried she fell ill.</div>	grammar::w3 grammar::w3d1 jlpt::n2 type::grammar
<div class="front-main">〜わけだ</div><div class="front-example-sentence-1">寒いわけだ。雪が降っている。</div>	<div class="back-main-reading">〜わけだ</div><div class="back-main-english-explanation">no wonder / the reason is</div><div class="back-example-sentence-1-reading">さむいわけだ。ゆきがふっている。</div><div class="back-example-sentence-1-english">No wonder it's cold. It's snowing.</div>	grammar::w3 grammar::w3d2 jlpt::n2 type::grammar
<div class="front-main">〜わけだ</div><div class="front-example-sentence-1">定価が1万円で、2割引きだから8千円になるわけだ。</div>	<div class="back-main-reading">〜わけだ</div><div class="back-main-english-explanation">no wonder / the reason is</div><div class="back-example-sentence-1-reading">ていかが1まんえんで、2わりびきだから8せんえんになるわけだ。</div><div class="back-example-sentence-1-english">The price is 10,000 yen, and with a 20% discount, it naturally comes to 8,000 yen.</div>	grammar::w3 grammar::w3d2 jlpt::n2 type::grammar
<div class="front-main">〜わけではない / 〜わけでもない</div><div class="front-example-sentence-1">ほしくないわけではないけれど、お金がないから買えないんです。</div>	<div class="back-main-reading">〜わけではない / 〜わけでもない</div><div class="back-main-english-explanation">it is not that / it doesn't mean</div><div class="back-example-sentence-1-reading">ほしくないわけではないけれど、おかねがないからかえないんです。</div><div class="back-example-sentence-1-english">It's not that I don't want it, I just can't afford it.</div>	grammar::w3 grammar::w3d2 jlpt::n2 type::grammar
<div class="front-main">〜わけではない / 〜わけでもない</div><div class="front-example-sentence-1">テレビはつけてあるが、見ているわけでもない。</div>	<div class="back-main-reading">〜わけではない / 〜わけでもない</div><div class="back-main-english-explanation">it is not that / it doesn't mean</div><div class="back-example-sentence-1-reading">テレビはつけてあるが、みているわけでもない。</div><div class="back-example-sentence-1-english">The TV is on, but it doesn't mean I'm watching it.</div>	grammar::w3 grammar::w3d2 jlpt::n2 type::grammar
<div class="front-main">〜わけがない</div><div class="front-example-sentence-1">うちの子がそんなことをするわけがない。</div>	<div class="back-main-reading">〜わけがない</div><div class="back-main-english-explanation">there is no way that</div><div class="back-example-sentence-1-reading">うちのこがそんなことをするわけがない。</div><div class="back-example-sentence-1-english">There is no way my child would do such a thing.</div>	grammar::w3 grammar::w3d2 jlpt::n2 type::grammar
<div class="front-main">〜わけがない</div><div class="front-example-sentence-1">ほめられて、うれしくないわけがない。</div>	<div class="back-main-reading">〜わけがない</div><div class="back-main-english-explanation">there is no way that</div><div class="back-example-sentence-1-reading">ほめられて、うれしくないわけがない。</div><div class="back-example-sentence-1-english">How could I not be happy to be praised?</div>	grammar::w3 grammar::w3d2 jlpt::n2 type::grammar
<div class="front-main">〜わけにはいかない / 〜わけにもいかない</div><div class="front-example-sentence-1">重要な会議があるので、病気でも会社を休むわけにはいかない。</div>	<div class="back-main-reading">〜わけにはいかない / 〜わけにもいかない</div><div class="back-main-english-explanation">cannot afford to / cannot help but</div><div class="back-example-sentence-1-reading">じゅうようなかいぎがあるので、びょうきでもかいしゃをやすむわけにはいかない。</div><div class="back-example-sentence-1-english">Because of an important meeting, I cannot take a day off even if I am sick.</div>	grammar::w3 grammar::w3d2 jlpt::n2 type::grammar
