#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 4 (Sou Matome N2) — Japanese grammar and usage: Grammar/Listening patterns
<div class="front-main">〜上に</div><div class="front-example-sentence-1">彼は仕事ができる上に優しい。</div>	<div class="back-main-reading">うえに</div><div class="back-main-english-explanation">not only... but also...</div><div class="back-example-sentence-1-reading">かれはしごとができるうえにやさしい。</div><div class="back-example-sentence-1-english">Not only is he good at his job but he's also a nice guy.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜上に</div><div class="front-example-sentence-1">昨日は寒かった上に、風が強かった。</div>	<div class="back-main-reading">うえに</div><div class="back-main-english-explanation">not only... but also...</div><div class="back-example-sentence-1-reading">きのうはさむかったうえに、かぜがつよかった。</div><div class="back-example-sentence-1-english">Yesterday it was cold and windy.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜上で</div><div class="front-example-sentence-1">よく考えた上で決めます。</div>	<div class="back-main-reading">うえで</div><div class="back-main-english-explanation">after doing.../upon...</div><div class="back-example-sentence-1-reading">よくかんがえたうえできめます。</div><div class="back-example-sentence-1-english">I will think well and then decide.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜上で</div><div class="front-example-sentence-1">家族と相談の上、お返事します。</div>	<div class="back-main-reading">うえで</div><div class="back-main-english-explanation">after doing.../upon...</div><div class="back-example-sentence-1-reading">かぞくとそうだんのうえ、おへんじします。</div><div class="back-example-sentence-1-english">I will reply after consulting my family.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜上は</div><div class="front-example-sentence-1">キャプテンに選ばれた上は、がんばるしかない。</div>	<div class="back-main-reading">うえは</div><div class="back-main-english-explanation">since.../now that... (must act accordingly)</div><div class="back-example-sentence-1-reading">キャプテンにえらばれたうえは、がんばるしかない。</div><div class="back-example-sentence-1-english">Since I was chosen as the captain, I must try my hardest.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜上は</div><div class="front-example-sentence-1">入学する上は卒業したい。</div>	<div class="back-main-reading">うえは</div><div class="back-main-english-explanation">since.../now that... (must act accordingly)</div><div class="back-example-sentence-1-reading">にゅうがくするうえはそつぎょうしたい。</div><div class="back-example-sentence-1-english">Now that I have entered school, I want to graduate.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜上で(は)</div><div class="front-example-sentence-1">天気図の上では春なのに、実際はまだ寒い。</div>	<div class="back-main-reading">うえで(は)</div><div class="back-main-english-explanation">from the viewpoint of/in terms of</div><div class="back-example-sentence-1-reading">てんきずのうえでははるなのに、じっさいはまださむい。</div><div class="back-example-sentence-1-english">On the weather map it looks like spring, but it is actually still cold.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜上で(は)</div><div class="front-example-sentence-1">理論上はできるはずだったが、実験では失敗した。</div>	<div class="back-main-reading">うえで(は)</div><div class="back-main-english-explanation">from the viewpoint of/in terms of</div><div class="back-example-sentence-1-reading">りろんじょうはできるはずだったが、じっけんではしっぱいした。</div><div class="back-example-sentence-1-english">Theoretically it should have been possible, but the experiment failed.</div>	grammar::w4 grammar::w4d1 jlpt::n2 type::grammar
<div class="front-main">〜向け</div><div class="front-example-sentence-1">初心者向けの教科書です。</div>	<div class="back-main-reading">むけ</div><div class="back-main-english-explanation">for/intended for</div><div class="back-example-sentence-1-reading">しょしんしゃむけのきょうかしょです。</div><div class="back-example-sentence-1-english">It is a textbook for beginners.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜向け</div><div class="front-example-sentence-1">国内向けも、海外輸出向けも増加した。</div>	<div class="back-main-reading">むけ</div><div class="back-main-english-explanation">for/intended for</div><div class="back-example-sentence-1-reading">こくないむけも、かいがいゆしゅつむけもぞうかした。</div><div class="back-example-sentence-1-english">Manufacturing increased for both domestic and export markets.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜向き</div><div class="front-example-sentence-1">この店の料理は見た目がきれいなので、女性向きだ。</div>	<div class="back-main-reading">むき</div><div class="back-main-english-explanation">suited for/fit for</div><div class="back-example-sentence-1-reading">このみせのりょうりはみためがきれいなので、じょせいむきだ。</div><div class="back-example-sentence-1-english">The food at this restaurant looks nice, so it is suited for women.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜向き</div><div class="front-example-sentence-1">この仕事は体力のある若い人向きだ。</div>	<div class="back-main-reading">むき</div><div class="back-main-english-explanation">suited for/fit for</div><div class="back-example-sentence-1-reading">このしごとはたいりょくのあるわかいひとむきだ。</div><div class="back-example-sentence-1-english">This job is suited for young, physically fit people.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜次第で／〜次第だ</div><div class="front-example-sentence-1">花火大会は天気次第で中止になる場合もあります。</div>	<div class="back-main-reading">しだいで／しだいだ</div><div class="back-main-english-explanation">depending on</div><div class="back-example-sentence-1-reading">はなびたいかいはてんきしだいでちゅうしになるばあいもあります。</div><div class="back-example-sentence-1-english">The fireworks display may be cancelled depending on the weather.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜次第で／〜次第だ</div><div class="front-example-sentence-1">うまくいくかどうかは本人次第だ。</div>	<div class="back-main-reading">しだいで／しだいだ</div><div class="back-main-english-explanation">depending on</div><div class="back-example-sentence-1-reading">うまくいくかどうかはほんにんしだいだ。</div><div class="back-example-sentence-1-english">Whether it goes well or not depends on the person themselves.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜次第</div><div class="front-example-sentence-1">田中が戻り次第、お電話させます。</div>	<div class="back-main-reading">しだい</div><div class="back-main-english-explanation">as soon as</div><div class="back-example-sentence-1-reading">たなかがもどりしだい、おでんわさせます。</div><div class="back-example-sentence-1-english">As soon as Tanaka returns, I will have him call you.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜次第</div><div class="front-example-sentence-1">決まり次第、ご連絡いたします。</div>	<div class="back-main-reading">しだい</div><div class="back-main-english-explanation">as soon as</div><div class="back-example-sentence-1-reading">きまりしだい、ごれんらくいたします。</div><div class="back-example-sentence-1-english">I will contact you as soon as it is decided.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜次第です</div><div class="front-example-sentence-1">このたび担当が替わりましたので、あいさつに伺った次第です。</div>	<div class="back-main-reading">しだいです</div><div class="back-main-english-explanation">that is the reason/that is why (formal)</div><div class="back-example-sentence-1-reading">このたびたんとうがかわりましたので、あいさつにうかがったしだいです。</div><div class="back-example-sentence-1-english">I am here to greet you because I am the new person in charge.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜次第です</div><div class="front-example-sentence-1">日時の変更について、改めてお知らせする次第です。</div>	<div class="back-main-reading">しだいです</div><div class="back-main-english-explanation">that is the reason/that is why (formal)</div><div class="back-example-sentence-1-reading">にちじのへんこうについて、あらためておしらせするしだいです。</div><div class="back-example-sentence-1-english">I will inform you later of the change in the date and time.</div>	grammar::w4 grammar::w4d2 jlpt::n2 type::grammar
<div class="front-main">〜にこたえて</div><div class="front-example-sentence-1">客の意見にこたえて、営業時間を延長する。</div>	<div class="back-main-reading">にこたえて</div><div class="back-main-english-explanation">in response to/meeting a request</div><div class="back-example-sentence-1-reading">きゃくのいけんにこたえて、えいぎょうじかんをえんちょうする。</div><div class="back-example-sentence-1-english">In response to customer requests, we are extending our business hours.</div>	grammar::w4 grammar::w4d3 jlpt::n2 type::grammar
<div class="front-main">〜にこたえて</div><div class="front-example-sentence-1">親の期待にこたえ、がんばった。</div>	<div class="back-main-reading">にこたえて</div><div class="back-main-english-explanation">in response to/meeting a request</div><div class="back-example-sentence-1-reading">おやのきたいにこたえ、がんばった。</div><div class="back-example-sentence-1-english">I worked hard to meet my parents' expectations.</div>	grammar::w4 grammar::w4d3 jlpt::n2 type::grammar
<div class="front-main">〜に対して</div><div class="front-example-sentence-1">目上の人に対して、そういう言い方は失礼ですよ。</div>	<div class="back-main-reading">にたいして</div><div class="back-main-english-explanation">toward/in contrast to</div><div class="back-example-sentence-1-reading">めうえのひとにたいして、そういういいかたはしつれいですよ。</div><div class="back-example-sentence-1-english">It is rude to speak to your superiors that way.</div>	grammar::w4 grammar::w4d3 jlpt::n2 type::grammar
<div class="front-main">〜に対して</div><div class="front-example-sentence-1">都市で人口が増えているのに対し、農村では減っている。</div>	<div class="back-main-reading">にたいして</div><div class="back-main-english-explanation">toward/in contrast to</div><div class="back-example-sentence-1-reading">としでじんこうがふえているのにたいし、のうそんではへっている。</div><div class="back-example-sentence-1-english">In contrast to the rising population in cities, it is falling in the countryside.</div>	grammar::w4 grammar::w4d3 jlpt::n2 type::grammar
