#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 5 (Sou Matome N2) — Japanese grammar and usage: Grammar/Reading/Listening patterns
<div class="front-main">〜っこない</div><div class="front-example-sentence-1">一日でこの本の文法全部なんて、覚えられっこない。</div>	<div class="back-main-reading">っこない</div><div class="back-main-english-explanation">impossible to (emphatic)</div><div class="back-example-sentence-1-reading">いちにちでこのほんのぶんぽうぜんぶなんて、おぼえられっこない。</div><div class="back-example-sentence-1-english">It's impossible to memorize all the grammar in this book in one day.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜っこない</div><div class="front-example-sentence-1">今の実力では、試験に受かりっこない。</div>	<div class="back-main-reading">っこない</div><div class="back-main-english-explanation">impossible to (emphatic)</div><div class="back-example-sentence-1-reading">いまのじつりょくでは、しけんにうかりっこない。</div><div class="back-example-sentence-1-english">It is impossible to pass the test with my current ability.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜かねない</div><div class="front-example-sentence-1">この問題を解決せずに放っておいたら、国際問題になりかねない。</div>	<div class="back-main-reading">かねない</div><div class="back-main-english-explanation">might happen/could possibly (something bad)</div><div class="back-example-sentence-1-reading">このもんだいをかいけつせずにほうっておいたら、こくさいもんだいになりかねない。</div><div class="back-example-sentence-1-english">If this problem is left unresolved, it could become an international issue.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜かねない</div><div class="front-example-sentence-1">そんなひどいことも、あの人なら言いかねない。</div>	<div class="back-main-reading">かねない</div><div class="back-main-english-explanation">might happen/could possibly (something bad)</div><div class="back-example-sentence-1-reading">そんなひどいことも、あのひとならいいかねない。</div><div class="back-example-sentence-1-english">If it's him, he might say something that terrible.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜かねる</div><div class="front-example-sentence-1">申し訳ありませんが、私にはわかりかねます。</div>	<div class="back-main-reading">かねる</div><div class="back-main-english-explanation">hard to/cannot (due to hesitation, formal)</div><div class="back-example-sentence-1-reading">もうしわけありませんが、わたしにはわかりかねます。</div><div class="back-example-sentence-1-english">I am sorry, but I cannot answer that.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜かねる</div><div class="front-example-sentence-1">そのようなご依頼は、お引き受けしかねます。</div>	<div class="back-main-reading">かねる</div><div class="back-main-english-explanation">hard to/cannot (due to hesitation, formal)</div><div class="back-example-sentence-1-reading">そのようなごいらいは、おひきうけしかねます。</div><div class="back-example-sentence-1-english">I cannot accept that request.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜がたい</div><div class="front-example-sentence-1">これは信じがたい話だが、事実である。</div>	<div class="back-main-reading">がたい</div><div class="back-main-english-explanation">difficult to do/hard to feel</div><div class="back-example-sentence-1-reading">これはしんじがたいはなしだが、じじつである。</div><div class="back-example-sentence-1-english">This is hard to believe, but it is true.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜がたい</div><div class="front-example-sentence-1">人が人の命をうばうなんて、許しがたい。</div>	<div class="back-main-reading">がたい</div><div class="back-main-english-explanation">difficult to do/hard to feel</div><div class="back-example-sentence-1-reading">ひとがひとのいのちをうばうなんて、ゆるしがたい。</div><div class="back-example-sentence-1-english">It is unforgivable that a person would take another's life.</div>	grammar::w5 grammar::w5d1 jlpt::n2 type::grammar
<div class="front-main">〜ことから</div><div class="front-example-sentence-1">富士山が見えることから、この町は富士見町という名前がついた。</div>	<div class="back-main-reading">ことから</div><div class="back-main-english-explanation">because/from the fact that</div><div class="back-example-sentence-1-reading">ふじさんがみえることから、このまちはふじみちょうというなまえがついた。</div><div class="back-example-sentence-1-english">Because Mt. Fuji is visible, this town is named Fujimicho.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜ことから</div><div class="front-example-sentence-1">桜の名所であることから、春には花見客が大勢やってくる。</div>	<div class="back-main-reading">ことから</div><div class="back-main-english-explanation">because/from the fact that</div><div class="back-example-sentence-1-reading">さくらのめいしょであることから、はるにははなみきゃくがおおぜいやってくる。</div><div class="back-example-sentence-1-english">Because this is a famous place for cherry blossoms, many people visit in spring.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜ことだから</div><div class="front-example-sentence-1">いつも遅刻する彼のことだから、もうすぐ現れるだろう。</div>	<div class="back-main-reading">ことだから</div><div class="back-main-english-explanation">knowing that/since it is X (person's character)</div><div class="back-example-sentence-1-reading">いつもちこくするかれのことだから、もうすぐあらわれるだろう。</div><div class="back-example-sentence-1-english">Knowing him, since he's always late, he should be here soon.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜ことだから</div><div class="front-example-sentence-1">親切な林さんのことだから、頼めば手伝ってくれるよ。</div>	<div class="back-main-reading">ことだから</div><div class="back-main-english-explanation">knowing that/since it is X (person's character)</div><div class="back-example-sentence-1-reading">しんせつなはやしさんのことだから、たのめばてつだってくれるよ。</div><div class="back-example-sentence-1-english">Knowing kind Hayashi-san, if you ask, he will help.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜ことなく</div><div class="front-example-sentence-1">雨は休むことなく降り続いた。</div>	<div class="back-main-reading">ことなく</div><div class="back-main-english-explanation">without doing (formal)</div><div class="back-example-sentence-1-reading">あめはやすむことなくふりつづいた。</div><div class="back-example-sentence-1-english">The rain continued without stopping.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜ことなく</div><div class="front-example-sentence-1">時は止まることなく流れる。</div>	<div class="back-main-reading">ことなく</div><div class="back-main-english-explanation">without doing (formal)</div><div class="back-example-sentence-1-reading">ときはとまることなくながれる。</div><div class="back-example-sentence-1-english">Time flows without stopping.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜ないことには</div><div class="front-example-sentence-1">やってみないことには、できるかどうかわからない。</div>	<div class="back-main-reading">ないことには</div><div class="back-main-english-explanation">unless (X happens, Y cannot)</div><div class="back-example-sentence-1-reading">やってみないことには、できるかどうかわからない。</div><div class="back-example-sentence-1-english">I don't know if I can do it unless I try.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜ないことには</div><div class="front-example-sentence-1">実物を見ないことには、買う気にはなれない。</div>	<div class="back-main-reading">ないことには</div><div class="back-main-english-explanation">unless (X happens, Y cannot)</div><div class="back-example-sentence-1-reading">じつぶつをみないことには、かうきにはなれない。</div><div class="back-example-sentence-1-english">I don't feel like buying it until I see it.</div>	grammar::w5 grammar::w5d2 jlpt::n2 type::grammar
<div class="front-main">〜(な)ら当然だ／当たり前だ</div><div class="front-example-sentence-1">ひどいことばかり言ったので、彼女に嫌われて当然だ。</div>	<div class="back-main-reading">(な)らとうぜんだ／あたりまえだ</div><div class="back-main-english-explanation">it is natural that...</div><div class="back-example-sentence-1-reading">ひどいことばかりいったので、かのじょにきらわれてとうぜんだ。</div><div class="back-example-sentence-1-english">Since you said so many nasty things, it's natural she hates you.</div>	grammar::w5 grammar::w5d3 jlpt::n2 type::grammar
<div class="front-main">〜(な)ら当然だ／当たり前だ</div><div class="front-example-sentence-1">相手のチームは弱い。勝って当たり前だ。</div>	<div class="back-main-reading">(な)らとうぜんだ／あたりまえだ</div><div class="back-main-english-explanation">it is natural that...</div><div class="back-example-sentence-1-reading">あいてのチームはよわい。かってあたりまえだ。</div><div class="back-example-sentence-1-english">The other team is weak. It's only natural to win.</div>	grammar::w5 grammar::w5d3 jlpt::n2 type::grammar
