#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 5 (Sou Matome N2, Days 1-6) — Kanji, Vocabulary, Grammar, Reading, Listening
傾向	けいこう — Trend/tendency <br><i>(kanji: 傾)</i>	kanji::w5 kanji::w5d1
傾く	かたむく — Tilt/incline <br><i>(kanji: 傾)</i>	kanji::w5 kanji::w5d1
傾ける	かたむける — Make something tilt/incline <br><i>(kanji: 傾)</i>	kanji::w5 kanji::w5d1
横転	おうてん — Overturn <br><i>(kanji: 横)</i>	kanji::w5 kanji::w5d1
横断歩道	おうだんほどう — Pedestrian crossing <br><i>(kanji: 横)</i>	kanji::w5 kanji::w5d1
横	よこ — Side <br><i>(kanji: 横)</i>	kanji::w5 kanji::w5d1
熱湯	ねっとう — Boiling water <br><i>(kanji: 湯)</i>	kanji::w5 kanji::w5d1
湯飲み	ゆのみ — Teacup <br><i>(kanji: 湯)</i>	kanji::w5 kanji::w5d1
湯	ゆ — Hot water <br><i>(kanji: 湯)</i>	kanji::w5 kanji::w5d1
湯気	ゆげ — Steam <br><i>(kanji: 湯)</i>	kanji::w5 kanji::w5d1
恐怖	きょうふ — Fear <br><i>(kanji: 恐)</i>	kanji::w5 kanji::w5d1
恐ろしい	おそろしい — Fearful/terrible <br><i>(kanji: 恐)</i>	kanji::w5 kanji::w5d1
恐れ	おそれ — Fear/risk <br><i>(kanji: 恐)</i>	kanji::w5 kanji::w5d1
恐れ入ります	おそれいります — I beg your pardon/Excuse me <br><i>(kanji: 恐)</i>	kanji::w5 kanji::w5d1
原料	げんりょう — Raw material <br><i>(kanji: 原)</i>	kanji::w5 kanji::w5d1
原産	げんさん — Origin/native <br><i>(kanji: 原)</i>	kanji::w5 kanji::w5d1
野原	のはら — Field <br><i>(kanji: 原)</i>	kanji::w5 kanji::w5d1
原因	げんいん — Cause <br><i>(kanji: 因)</i>	kanji::w5 kanji::w5d1
要因	よういん — Factor <br><i>(kanji: 因)</i>	kanji::w5 kanji::w5d1
位置	いち — Location <br><i>(kanji: 置)</i>	kanji::w5 kanji::w5d1
装置	そうち — Device <br><i>(kanji: 置)</i>	kanji::w5 kanji::w5d1
置く	おく — Put <br><i>(kanji: 置)</i>	kanji::w5 kanji::w5d1
物置	ものおき — Closet/storeroom <br><i>(kanji: 置)</i>	kanji::w5 kanji::w5d1
寝室	しんしつ — Bedroom <br><i>(kanji: 寝)</i>	kanji::w5 kanji::w5d1
寝坊	ねぼう — Late riser/getting up late <br><i>(kanji: 寝)</i>	kanji::w5 kanji::w5d1
昼寝	ひるね — Nap <br><i>(kanji: 寝)</i>	kanji::w5 kanji::w5d1
寝る	ねる — Sleep <br><i>(kanji: 寝)</i>	kanji::w5 kanji::w5d1
熱	ねつ — Heat/fever <br><i>(kanji: 熱)</i>	kanji::w5 kanji::w5d1
熱中	ねっちゅう — Mania/passion/enthusiasm <br><i>(kanji: 熱)</i>	kanji::w5 kanji::w5d1
熱心(な)	ねっしんな — Enthusiastic/zealous <br><i>(kanji: 熱)</i>	kanji::w5 kanji::w5d1
熱い	あつい — Hot <br><i>(kanji: 熱)</i>	kanji::w5 kanji::w5d1
燃焼	ねんしょう — Combustion <br><i>(kanji: 焼)</i>	kanji::w5 kanji::w5d1
焼く	やく — Roast/grill <br><i>(kanji: 焼)</i>	kanji::w5 kanji::w5d1
焼ける	やける — Be burnt/baked <br><i>(kanji: 焼)</i>	kanji::w5 kanji::w5d1
接触	せっしょく — Contact <br><i>(kanji: 触)</i>	kanji::w5 kanji::w5d1
感触	かんしょく — Sense of touch <br><i>(kanji: 触)</i>	kanji::w5 kanji::w5d1
