#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 6 (Sou Matome N2, Days 1-7) — Kanji, Vocabulary, Grammar, Reading
お買い得	おかいどく — A bargain <br><i>(kanji: 得)</i>	kanji::w6 kanji::w6d1
得る	える — Obtain <br><i>(kanji: 得)</i>	kanji::w6 kanji::w6d1
納得	なっとく — Assent/understanding <br><i>(kanji: 得)</i>	kanji::w6 kanji::w6d1
心得る	こころえる — Understand/be well aware <br><i>(kanji: 得)</i>	kanji::w6 kanji::w6d1
広告	こうこく — Advertisement <br><i>(kanji: 告)</i>	kanji::w6 kanji::w6d1
報告	ほうこく — Report <br><i>(kanji: 告)</i>	kanji::w6 kanji::w6d1
警告	けいごく — Warning/caution <br><i>(kanji: 告)</i>	kanji::w6 kanji::w6d1
告げる	つげる — Inform <br><i>(kanji: 告)</i>	kanji::w6 kanji::w6d1
税金	ぜいきん — Tax <br><i>(kanji: 税)</i>	kanji::w6 kanji::w6d1
消費税	しょうひぜい — Consumption tax <br><i>(kanji: 税)</i>	kanji::w6 kanji::w6d1
税関	ぜいかん — Customs <br><i>(kanji: 税)</i>	kanji::w6 kanji::w6d1
課税	かぜい — Taxation <br><i>(kanji: 税)</i>	kanji::w6 kanji::w6d1
定価	ていか — Fixed price <br><i>(kanji: 価)</i>	kanji::w6 kanji::w6d1
物価	ぶっか — Prices of commodities <br><i>(kanji: 価)</i>	kanji::w6 kanji::w6d1
価格	かかく — Price <br><i>(kanji: 格・価)</i>	kanji::w6 kanji::w6d1
高価(な)	こうかな — Expensive <br><i>(kanji: 価)</i>	kanji::w6 kanji::w6d1
性格	せいかく — Character/personality <br><i>(kanji: 格)</i>	kanji::w6 kanji::w6d1
資格	しかく — Qualification <br><i>(kanji: 格)</i>	kanji::w6 kanji::w6d1
合格	ごうかく — Passing an exam <br><i>(kanji: 格)</i>	kanji::w6 kanji::w6d1
斉一	せいいつ — Uniformity/homogeneity <br><i>(kanji: 斉)</i>	kanji::w6 kanji::w6d1
割引	わりびき — Discount <br><i>(kanji: 割)</i>	kanji::w6 kanji::w6d1
割合	わりあい — Ratio/percentage <br><i>(kanji: 割)</i>	kanji::w6 kanji::w6d1
割る	わる — Divide/break <br><i>(kanji: 割)</i>	kanji::w6 kanji::w6d1
割れる	われる — Crack/cleave <br><i>(kanji: 割)</i>	kanji::w6 kanji::w6d1
増加	ぞうか — Increase <br><i>(kanji: 増)</i>	kanji::w6 kanji::w6d1
増やす	ふやす — Increase something <br><i>(kanji: 増)</i>	kanji::w6 kanji::w6d1
増える	ふえる — Increase <br><i>(kanji: 増)</i>	kanji::w6 kanji::w6d1
