#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 7 (Sou Matome N2, Days 1-6) — Kanji, Vocabulary, Grammar
求人	きゅうじん — Help wanted <br><i>(kanji: 求)</i>	kanji::w7 kanji::w7d1
要求	ようきゅう — Demand/request <br><i>(kanji: 求)</i>	kanji::w7 kanji::w7d1
請求書	せいきゅうしょ — Bill/invoice <br><i>(kanji: 求)</i>	kanji::w7 kanji::w7d1
求める	もとめる — Demand/request <br><i>(kanji: 求)</i>	kanji::w7 kanji::w7d1
簡単(な)	かんたんな — Easy/simple <br><i>(kanji: 簡)</i>	kanji::w7 kanji::w7d1
単語	たんご — Word <br><i>(kanji: 単)</i>	kanji::w7 kanji::w7d1
単位	たんい — Unit/credit <br><i>(kanji: 単)</i>	kanji::w7 kanji::w7d1
単に	たんに — Merely/simply <br><i>(kanji: 単)</i>	kanji::w7 kanji::w7d1
単なる	たんなる — Mere/simple <br><i>(kanji: 単)</i>	kanji::w7 kanji::w7d1
許可	きょか — Permission <br><i>(kanji: 許)</i>	kanji::w7 kanji::w7d1
免許	めんきょ — Permit/license <br><i>(kanji: 許)</i>	kanji::w7 kanji::w7d1
許す	ゆるす — Permit/allow <br><i>(kanji: 許)</i>	kanji::w7 kanji::w7d1
給料	きゅうりょう — Wage/salary <br><i>(kanji: 給)</i>	kanji::w7 kanji::w7d1
供給	きょうきゅう — Supply/provision <br><i>(kanji: 給)</i>	kanji::w7 kanji::w7d1
給与	きゅうよ — Allowance <br><i>(kanji: 与・給)</i>	kanji::w7 kanji::w7d1
月給	げっきゅう — Monthly wage <br><i>(kanji: 給)</i>	kanji::w7 kanji::w7d1
週給	しゅうきゅう — Weekly wage <br><i>(kanji: 給)</i>	kanji::w7 kanji::w7d1
日給	にっきゅう — Daily wage <br><i>(kanji: 給)</i>	kanji::w7 kanji::w7d1
与える	あたえる — Give/present <br><i>(kanji: 与)</i>	kanji::w7 kanji::w7d1
応募	おうぼ — Application <br><i>(kanji: 応)</i>	kanji::w7 kanji::w7d1
応用	おうよう — Practical use/application <br><i>(kanji: 応)</i>	kanji::w7 kanji::w7d1
一応	いちおう — Tentatively <br><i>(kanji: 応)</i>	kanji::w7 kanji::w7d1
応じる	おうじる — Respond <br><i>(kanji: 応)</i>	kanji::w7 kanji::w7d1
課	か — Lesson/section <br><i>(kanji: 課)</i>	kanji::w7 kanji::w7d1
課長	かちょう — Section chief <br><i>(kanji: 課)</i>	kanji::w7 kanji::w7d1
日課	にっか — Daily lesson/task <br><i>(kanji: 課)</i>	kanji::w7 kanji::w7d1
課程	かてい — Course/curriculum <br><i>(kanji: 程)</i>	kanji::w7 kanji::w7d1
過程	かてい — Process/course <br><i>(kanji: 程)</i>	kanji::w7 kanji::w7d1
